"","trend_type","label","years","CI_high","CI_low","LPI_final","sim"
"1","Concave Decrease","20%",1950,1,1,1,"median"
"2","Concave Decrease","20%",1951,1.03929696998112,0.95550453540785,0.996095067910583,"median"
"3","Concave Decrease","20%",1952,1.05179935237998,0.951338624599061,0.997357473787356,"median"
"4","Concave Decrease","20%",1953,1.06429364713599,0.953315516721724,1.00186550495005,"median"
"5","Concave Decrease","20%",1954,1.07942676110879,0.957158218132401,1.00711789265977,"median"
"6","Concave Decrease","20%",1955,1.09247950857491,0.961678668406946,1.02108615563474,"median"
"7","Concave Decrease","20%",1956,1.11196051589899,0.971246988905098,1.03710318411624,"median"
"8","Concave Decrease","20%",1957,1.13157813617989,0.987294038833551,1.05179881646415,"median"
"9","Concave Decrease","20%",1958,1.14928116712255,1.00073883063022,1.06583657990976,"median"
"10","Concave Decrease","20%",1959,1.17364998972195,1.01035760763561,1.0816034530259,"median"
"11","Concave Decrease","20%",1960,1.19884170619732,1.02032768027128,1.09994155980127,"median"
"12","Concave Decrease","20%",1961,1.21950579987586,1.02564690081333,1.11209024448058,"median"
"13","Concave Decrease","20%",1962,1.22774462837806,1.02669135242263,1.11570582437233,"median"
"14","Concave Decrease","20%",1963,1.227240213445,1.02790462015292,1.11434550306009,"median"
"15","Concave Decrease","20%",1964,1.21705440750098,1.01939701519433,1.1049603884335,"median"
"16","Concave Decrease","20%",1965,1.20242554684386,1.00663314771767,1.09107429942285,"median"
"17","Concave Decrease","20%",1966,1.19635791540148,0.996277888920904,1.0883104248256,"median"
"18","Concave Decrease","20%",1967,1.19801523778146,0.996299221322405,1.08702471821934,"median"
"19","Concave Decrease","20%",1968,1.20356211406493,0.997251947057742,1.08493529391603,"median"
"20","Concave Decrease","20%",1969,1.20877672569129,0.995574940317293,1.087211747038,"median"
"21","Concave Decrease","20%",1970,1.20546229917101,0.993205258219175,1.08874192396086,"median"
"22","Concave Decrease","20%",1971,1.20281352224759,0.985413776910434,1.08081132318882,"median"
"23","Concave Decrease","20%",1972,1.19842013212453,0.985313397807951,1.07374404954175,"median"
"24","Concave Decrease","20%",1973,1.20420079584952,0.983890509130544,1.07770843452357,"median"
"25","Concave Decrease","20%",1974,1.21688212786361,0.990085179654836,1.08501873379002,"median"
"26","Concave Decrease","20%",1975,1.22612126994668,0.993528616938552,1.08761293284354,"median"
"27","Concave Decrease","20%",1976,1.22051564934765,0.990862916323486,1.08639549238904,"median"
"28","Concave Decrease","20%",1977,1.21633425908487,0.978371431707738,1.0783955622055,"median"
"29","Concave Decrease","20%",1978,1.20877849248178,0.969438207359008,1.07470318001922,"median"
"30","Concave Decrease","20%",1979,1.20349932484863,0.965307864023993,1.07113557729337,"median"
"31","Concave Decrease","20%",1980,1.1992069545566,0.961760605418502,1.06643696817085,"median"
"32","Concave Decrease","20%",1981,1.19510389909656,0.954044722562793,1.05934855241482,"median"
"33","Concave Decrease","20%",1982,1.1881682130356,0.941132326500027,1.04976783173102,"median"
"34","Concave Decrease","20%",1983,1.17651870662967,0.929984473639726,1.03801458799145,"median"
"35","Concave Decrease","20%",1984,1.17527006014898,0.928445268482787,1.03368261676285,"median"
"36","Concave Decrease","20%",1985,1.18122859879703,0.932383862330932,1.03634412710682,"median"
"37","Concave Decrease","20%",1986,1.18722123754782,0.933537648691954,1.04273094428152,"median"
"38","Concave Decrease","20%",1987,1.1903934797879,0.936964623894542,1.04628879263397,"median"
"39","Concave Decrease","20%",1988,1.18270745808877,0.928461789501374,1.03677718557578,"median"
"40","Concave Decrease","20%",1989,1.16878122646114,0.913446896238104,1.02868889584999,"median"
"41","Concave Decrease","20%",1990,1.15860096294491,0.904984582066706,1.02029077306849,"median"
"42","Concave Decrease","20%",1991,1.16155653238241,0.90272774246487,1.01880150831993,"median"
"43","Concave Decrease","20%",1992,1.17682265785073,0.910800022668724,1.02600133849834,"median"
"44","Concave Decrease","20%",1993,1.19210124094258,0.911719853430635,1.03138646265527,"median"
"45","Concave Decrease","20%",1994,1.19569085178877,0.908508888295717,1.03391286145201,"median"
"46","Concave Decrease","20%",1995,1.18252857500206,0.896403391549804,1.02165373100299,"median"
"47","Concave Decrease","20%",1996,1.15411256145297,0.878274188689997,0.995098090279809,"median"
"48","Concave Decrease","20%",1997,1.12195392961853,0.8605723413285,0.970730015714971,"median"
"49","Concave Decrease","20%",1998,1.10263355016159,0.841125757786146,0.954300705148,"median"
"50","Concave Decrease","20%",1999,1.0875635758476,0.829528646936453,0.942466490423081,"median"
"51","Concave Decrease","20%",2000,1.07538714344301,0.821567793934168,0.934864607179288,"median"
"52","Concave Decrease","20%",2001,1.06671081698724,0.815118732520126,0.923070731988636,"median"
"53","Concave Decrease","20%",2002,1.05832737435791,0.806834695991968,0.912749217690725,"median"
"54","Concave Decrease","20%",2003,1.04651993105413,0.796759607233482,0.902800512904193,"median"
"55","Concave Decrease","20%",2004,1.02768521448317,0.778274185155852,0.887149714370342,"median"
"56","Concave Decrease","20%",2005,1.00517116957436,0.759102046425618,0.866470870144589,"median"
"57","Concave Decrease","20%",2006,0.976088610517161,0.7372883400014,0.84036662108309,"median"
"58","Concave Decrease","20%",2007,0.949552348581981,0.713097248147819,0.815536060915729,"median"
"59","Concave Decrease","20%",2008,0.924580142468738,0.694964901603348,0.795109241541377,"median"
"60","Concave Decrease","20%",2009,0.909404330682868,0.683142762261273,0.78297610853226,"median"
"61","Concave Decrease","20%",2010,0.900146207889227,0.672754806273173,0.771304588112753,"median"
"62","Concave Decrease","20%",2011,0.881661546214081,0.653471919637335,0.75052028727836,"median"
"63","Concave Decrease","20%",2012,0.845099373542016,0.625377363812851,0.719527823737918,"median"
"64","Concave Decrease","20%",2013,0.794795322641599,0.590461377754549,0.679848798906533,"median"
